date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking,away_ranking,home_avg_goals,away_avg_goals,home_wins,away_wins,home_losses,away_losses,home_draws,away_draws
2014-10-14,Finland,Romania,0.0,2.0,UEFA Euro qualification,Helsinki,Finland,False,65,26,1.6,1.0,2,2,1,0,2,1
2014-10-14,Germany,Republic of Ireland,1.0,1.0,UEFA Euro qualification,Gelsenkirchen,Germany,False,1,62,2.6,0.8,4,2,1,2,0,1
2014-10-14,Gibraltar,Georgia,0.0,3.0,UEFA Euro qualification,Faro,Portugal,True,205,110,0.4,3.4,1,1,3,2,1,0
2014-10-14,Greece,Northern Ireland,0.0,2.0,UEFA Euro qualification,Piraeus,Greece,False,14,71,0.2,0.4,0,2,1,0,2,1
2014-10-14,Poland,Scotland,2.0,2.0,UEFA Euro qualification,Warsaw,Poland,False,70,29,2.2,0.4,3,2,1,1,1,0
2014-10-14,San Marino,Switzerland,0.0,4.0,UEFA Euro qualification,Serravalle,San Marino,False,208,10,0.0,2.0,0,0,3,3,0,1
2014-10-14,Serbia,Albania,0.0,3.0,UEFA Euro qualification,Belgrade,Serbia,False,34,45,0.8,0.6,1,2,0,2,2,1
2014-11-12,Belgium,Iceland,3.0,1.0,Friendly,Brussels,Belgium,False,4,28,3.0,0.4,4,4,0,0,1,1
2014-11-12,Norway,Estonia,0.0,1.0,Friendly,Oslo,Norway,False,68,88,1.2,1.0,2,1,2,4,1,0
2014-11-14,France,Albania,1.0,1.0,Friendly,Rennes,France,False,7,48,1.4,0.6,3,3,1,1,1,1
2014-11-14,Georgia,Poland,0.0,4.0,UEFA Euro qualification,Tbilisi,Georgia,False,117,44,1.2,0.6,2,3,2,0,0,2
2014-11-14,Germany,Gibraltar,4.0,0.0,UEFA Euro qualification,Nuremberg,Germany,False,1,205,1.6,0.8,3,1,1,3,1,1
2014-11-14,Greece,Faroe Islands,0.0,1.0,UEFA Euro qualification,Piraeus,Greece,False,18,187,0.2,0.8,0,1,2,3,2,0
2014-11-14,Hungary,Finland,1.0,0.0,UEFA Euro qualification,Budapest,Hungary,False,50,63,1.4,0.6,3,2,1,2,1,1
2014-11-14,Portugal,Armenia,1.0,0.0,UEFA Euro qualification,Faro,Portugal,False,9,75,1.4,1.6,2,0,3,4,0,1
2014-11-14,Romania,Northern Ireland,2.0,0.0,UEFA Euro qualification,Bucharest,Romania,False,21,43,1.0,0.2,3,3,0,0,1,1
2014-11-14,Scotland,Republic of Ireland,1.0,0.0,UEFA Euro qualification,Glasgow,Scotland,False,37,61,1.0,0.8,2,2,1,1,1,2
2014-11-14,Serbia,Denmark,1.0,3.0,UEFA Euro qualification,Belgrade,Serbia,False,46,32,0.8,1.2,1,2,1,2,2,1
2014-11-15,Austria,Russia,1.0,0.0,UEFA Euro qualification,Vienna,Austria,False,29,30,1.4,0.8,3,2,0,1,2,2
2014-11-15,England,Slovenia,3.0,1.0,UEFA Euro qualification,London,England,False,20,36,2.0,0.4,4,2,1,1,0,0
2014-11-15,Luxembourg,Ukraine,0.0,3.0,UEFA Euro qualification,Luxembourg,Luxembourg,False,126,19,1.0,2.8,0,3,3,1,2,0
